id,name,price,sold,rating
68,Honor,380885,751340,1.47
69,Walker,364251,690265,4.15
70,Asus,590876,204443,4.83
71,Apple,465117,987659,1.9
72,Chuwi,9127,211952,2.13
73,Lenovo,565069,48330,3.87
74,Walker,118503,127069,3.48
75,Microsoft,534486,278154,3.62
76,Primebook,598831,56690,4.23
77,Gigabyte,183709,19796,2.69
78,Ninkear,230108,626731,3.67
79,Wings,453622,296665,3.24
80,Gigabyte,46330,284907,1.21
81,Colorful,462892,199221,3.51
82,iBall,510931,421655,1.8
83,LG,373013,271568,4.6
84,Gigabyte,460160,999321,2.58
85,Ultimus,324077,72737,1.34
86,Ninkear,283034,64336,3.63
87,Honor,404998,403853,3.08
88,Wings,437668,869432,1.97
89,Jio,239892,732660,1.1
90,Tecno,433940,778129,4.81
91,AXL,81921,480953,3.89
92,Apple,484378,347471,2.69
93,MSI,419719,535212,2.58
94,Apple,46740,849219,2.28
95,LG,531420,340335,2.92
96,Asus,74776,343809,4.32
97,HP,29854,549464,2.71
98,Razer,290516,539404,3.81
99,Honor,19271,230926,2.81
100,Huawei,486091,197624,4.38
101,LG,46470,185652,2.91
102,Lenovo,545890,131462,3.18
103,Xiaomi,407247,608735,2.25
104,MSI,106961,921576,1.37
105,Razer,135314,793258,3.5
106,Walker,333439,749880,2.36
107,Chuwi,570379,550395,4.26
108,Colorful,502396,727262,1.82
109,Primebook,370435,505795,3.78
110,Chuwi,366641,420008,4.64
111,ASUS,449342,784745,2.28
112,Xiaomi,75391,876572,4.29
113,Honor,233184,178360,3.38
114,Huawei,593091,551342,1.84
115,Razer,318678,322671,3.42
116,Fujitsu,551839,900847,3.25
117,Walker,444194,11649,2.72
118,ASUS,224280,156553,1.48
119,Infinix,325876,267155,3.29
120,Zebronics,355758,414804,3.25
121,Asus,473388,449238,4.75
122,AXL,530081,316577,3.79
123,LG,499910,888912,1.61
124,MSI,127811,992330,1.55
125,Tecno,534519,417889,4.27
126,LG,528720,411718,4.87
127,HP,28264,477172,2.05
128,HP,558612,627203,2.12
129,Honor,146760,529742,4.11
130,Chuwi,589405,914814,2.54
131,Primebook,142380,936383,2.99
132,Fujitsu,129095,120044,3.59
133,Microsoft,80222,425631,3.96
134,Apple,168244,859024,1.1
135,Acer,45289,594270,1.04
136,MSI,69530,707923,3.86
137,LG,209622,85434,3.14
138,Acer,571086,206754,3.13
139,Jio,336548,535954,1.46
140,Colorful,101788,723978,3.83
141,Ultimus,52827,256943,1.95
142,Fujitsu,403468,259638,1.51
143,Samsung,171469,67120,2.8
144,Asus,209308,990899,4.12
145,Avita,233091,76484,1.76
146,Dell,445925,994257,3.15
147,Ultimus,534162,642301,3.8
148,Wings,30215,889678,1.2
149,Xiaomi,69032,592866,4.28
150,Wings,86947,45371,4.11
151,Fujitsu,280715,792117,3.84
152,Wings,73695,114783,2.01
153,Chuwi,313060,652352,2.48
154,Xiaomi,482370,876950,3.9
155,iBall,173408,502743,4.1
156,Acer,399712,327714,4.25
157,Avita,207890,333482,1.3
158,Colorful,340053,31541,4.05
159,Jio,574228,763642,2.83
160,Razer,198797,570586,1.51
161,Fujitsu,78070,182434,2.49
162,MSI,476141,322112,2.04
163,Asus,182282,341339,1.36
164,Asus,319910,542741,1.88
165,HP,297487,348216,4.96
166,Avita,413465,464250,1.91
167,Dell,461360,208293,3.29
168,Acer,485689,780737,4.16
169,Razer,86176,384758,1.7
170,Apple,179531,139652,4.5
171,Honor,403485,59821,4.18
172,Gigabyte,539178,127599,4.54
173,Samsung,131225,963886,2.48
174,Ninkear,386176,362439,4.86
175,Gigabyte,284728,949209,2.47
176,Chuwi,44134,87994,1.17
177,Asus,413009,382790,1.28
178,Chuwi,97849,835899,4.35
179,Infinix,495220,930770,3.57
180,AXL,439961,90776,1.49
181,MSI,336256,458208,4.26
182,Avita,509051,936311,2.94
183,Dell,198733,568921,3.81
184,Primebook,397943,613073,2.94
185,Gigabyte,143761,601924,3.21
186,AXL,43824,23338,1.89
187,Ultimus,47752,846717,2.48
188,Lenovo,179599,317825,1.55
189,Fujitsu,552031,730515,2.11
190,Samsung,377327,891932,1.36
191,MSI,437735,273069,2.66
192,Walker,147009,651288,2.22
193,Huawei,471478,712810,4.95
194,Avita,239614,869621,3.64
195,Wings,379343,888491,4.41
196,Infinix,489339,987732,1.92
197,iBall,487875,767200,2.55
198,Apple,349339,924825,3.9
199,ASUS,8073,79951,4.41
200,Xiaomi,22422,929481,1.13
201,Infinix,503986,875147,4.56
202,Colorful,81405,661582,4.3
203,LG,490991,34660,4.64
204,Acer,50642,778863,1.71
205,Avita,328333,435338,1.5
206,Acer,467797,270237,3.28
207,Zebronics,520777,264079,4.06
208,Primebook,556274,760666,1.52
209,Gigabyte,129031,178324,1.21
210,Razer,325143,432600,1.63
211,Dell,329271,211862,1.16
212,iBall,515845,257215,2.44
213,Infinix,161944,625314,3.62
214,Huawei,19043,614535,4.05
215,AXL,190643,976984,4.58
216,Huawei,268459,653049,4.25
217,Dell,154491,483605,3.07
218,Jio,84579,63025,2.41
219,Dell,135889,389326,3.9
220,Samsung,369455,189007,2.92
221,Colorful,558033,221460,1.65
222,Apple,85254,890496,4.34
223,Zebronics,329223,438308,4.94
224,Infinix,399377,64181,4.82
225,Colorful,329650,83987,4.65
226,Ultimus,413746,142526,1.72
227,Jio,504226,253416,3.18
228,Razer,381941,310106,3.13
229,Asus,514790,231986,1.57
230,Colorful,142712,765496,4.93
231,Primebook,544267,19538,1.56
232,Chuwi,410071,165478,4.83
233,Avita,588156,859140,4.54
234,Avita,355470,99400,3.43
235,Apple,577450,60665,4.26
236,Huawei,76616,459981,4.08
237,MSI,400537,168828,1.36
238,Wings,370726,53731,1.18
239,LG,19730,723282,4.52
240,Walker,259430,826470,2.71
241,Chuwi,206943,596991,4.18
242,iBall,365362,554790,2.16
243,Zebronics,509845,712956,3.71
244,Acer,35054,187872,4.41
245,Lenovo,231774,872275,2.31
246,MSI,224514,795579,4.93
247,Colorful,110570,892943,4.48
248,Acer,350862,217080,4.62
249,Fujitsu,97738,571031,4.99
250,Asus,557496,508014,1.24
251,Acer,447571,954826,1.97
252,Huawei,520487,178239,2.16
253,Acer,434343,622459,4.61
254,Wings,313708,951447,2.61
255,Primebook,589461,508932,4.84
256,Walker,406828,700296,2.19
257,Samsung,161381,42960,1.12
258,Apple,209839,148455,3.84
259,Infinix,503577,364635,2.06
260,MSI,363302,806672,2.81
261,Huawei,100518,460013,1.24
262,MSI,491823,602464,3.1
263,Samsung,501316,962660,3.07
264,Fujitsu,472205,284421,2.37
265,Primebook,554529,397812,1.92
266,HP,549622,387546,4.76
267,Colorful,536651,858116,4.4
268,Fujitsu,355937,164462,3.36
269,Apple,535740,484418,4.11
270,Asus,232725,711318,4.28
271,Tecno,549423,837089,2.32
272,Huawei,180456,981194,2.14
273,Primebook,83101,187237,2.17
274,Colorful,339844,870630,2.41
275,Acer,220998,873392,4.88
276,AXL,344617,306726,1.47
277,Tecno,145279,807343,2.24
278,Infinix,47989,476878,3.8
279,Gigabyte,112373,435576,3.49
280,Tecno,303609,197869,3.39
281,Huawei,308451,930317,1.79
282,Ninkear,196388,81273,2.48
283,Dell,200144,462128,1.68
284,Ultimus,448410,333185,4.63
285,Infinix,586060,442883,3.32
286,Zebronics,390553,426015,2.95
287,Dell,333719,912009,3.15
288,LG,462837,926168,2.43
289,Jio,595638,247487,4.8
290,Tecno,428162,867812,2.65
291,Acer,36753,549650,4.39
292,Fujitsu,162052,638631,4.08
293,Honor,394976,831435,2.5
294,Asus,178724,499859,4.54
295,Asus,333865,51733,1.06
296,Gigabyte,334907,644277,2.05
297,Honor,70929,879780,4.46
298,Chuwi,394013,933189,1.42
299,Xiaomi,545553,473770,4.53
300,Huawei,197634,171684,2.65
301,Honor,558675,13520,3.29
302,ASUS,58791,926677,1.44
303,Huawei,448978,387974,4.05
304,Razer,283752,186834,1.02
305,iBall,383180,274684,4.73
306,Asus,346369,697683,4.01
307,Asus,308678,998993,3.49
308,Colorful,20598,843862,2.18
309,Avita,514175,357359,2.9
310,Razer,368867,472738,4.97
311,ASUS,167174,233572,1.27
312,Gigabyte,383740,505073,1.54
313,Jio,201368,990094,1.92
314,Gigabyte,393765,616257,2.81
315,MSI,179023,210549,4.95
316,Huawei,133871,372617,4.93
317,Jio,141211,815411,3.1
318,Jio,160927,739149,4.56
319,Gigabyte,178587,562574,1.74
320,Xiaomi,262069,422634,4.52
321,Honor,389454,931482,3.53
322,Razer,171814,458560,1.47
323,Tecno,97224,86673,2.18
324,Acer,144144,417106,3.78
325,Huawei,443754,306456,1.16
326,LG,33737,446701,3.7
327,LG,91290,950697,3.3
328,Infinix,163959,591234,3.36
329,Asus,381986,163715,4.14
330,Tecno,420974,62449,1.14
331,Dell,164790,677479,3.03
332,Gigabyte,133814,665325,4.97
333,Gigabyte,220934,580990,3.28
334,Samsung,134025,580996,1.26
335,LG,460915,721192,3.05
336,ASUS,492943,254618,2.66
337,Huawei,448034,491683,1.55
338,Honor,256692,875308,4.03
339,LG,542468,155715,2.81
340,Ninkear,382833,95212,1.74
341,Primebook,448751,463207,1.18
342,Gigabyte,230717,101432,1.28
343,iBall,581491,527624,3.74
344,iBall,312237,478936,2.29
345,Primebook,147169,726312,4.29
346,Wings,412560,929895,2.4
347,Tecno,64192,960010,2.99
348,Apple,149669,908762,2.8
349,Avita,563304,440058,3.07
350,Walker,314413,614206,2.4
351,Samsung,115338,680407,4.02
352,MSI,228415,309526,1.11
353,Huawei,559435,649270,2.13
354,Walker,446726,414123,3.56
355,Apple,254654,435367,3.65
356,MSI,472059,366852,1.53
357,Microsoft,107794,775819,1.13
358,Gigabyte,215548,157513,3.52
359,Fujitsu,28378,930349,4.74
360,Primebook,570677,158666,1.07
361,Colorful,236816,886835,1.39
362,Microsoft,210685,13112,2.6
363,Colorful,559128,343440,4.97
364,ASUS,530153,75765,2.61
365,Gigabyte,107320,641718,1.41
366,Jio,316779,355607,4.57
367,Colorful,373612,923206,4.16
368,Ninkear,536581,992702,2.78
369,Avita,418916,309360,2.53
370,Samsung,141315,92591,1.95
371,Dell,9116,408814,3.77
372,Primebook,507551,203105,2.18
373,Huawei,440527,304582,2.57
374,ASUS,448629,652427,2.72
375,Jio,428041,713301,2.85
376,Dell,502412,64280,1.02
377,Asus,17876,166476,4.15
378,Tecno,228333,630427,3.96
379,Dell,136745,295077,1.78
380,HP,117980,370436,1.32
381,Jio,13599,518954,3.79
382,Apple,203713,394764,1.86
383,Zebronics,295090,579360,3.83
384,Wings,47225,801259,3.94
385,Gigabyte,145914,222695,3.02
386,Ninkear,392327,669633,2.35
387,Ninkear,371293,507278,1.04
388,Lenovo,229005,545087,2.96
389,Chuwi,73632,461282,3.23
390,Dell,295799,377748,4.34
391,Ninkear,553739,688231,3.74
392,Xiaomi,533256,193984,4.31
393,Acer,531209,545865,3.44
394,Wings,113323,492076,3.38
395,Samsung,264830,454457,2.52
396,Razer,477752,245976,4.26
397,MSI,246857,172267,3.46
398,Xiaomi,532458,627373,2.8
399,Colorful,14953,89674,3.92
400,Wings,184332,230622,2.44
401,Chuwi,323396,727898,1.3
402,Jio,138163,924250,3.65
403,Apple,55322,639293,2.48
404,HP,109470,966435,2.6
405,Honor,419764,153726,3.5
406,Acer,38170,253637,1.5
407,Jio,373526,999837,1.03
408,Microsoft,182039,722604,1.07
409,Razer,130718,600541,1.84
410,Gigabyte,296632,166259,4.69
411,Apple,364366,654748,1.06
412,Fujitsu,261542,746564,3.57
413,Zebronics,241545,750699,1.81
414,Tecno,274515,543988,1.1
415,Fujitsu,461222,273136,1.88
416,Chuwi,110529,248428,2.93
417,iBall,17491,717319,3.06
418,Razer,79922,47904,3.41
419,Honor,8711,8484,2.65
420,Walker,196315,34164,4.15
421,Tecno,126809,78449,1.17
422,Xiaomi,144317,20171,4.65
423,Jio,130853,5102,2.07
424,Wings,549504,170261,1.32
425,Acer,298428,142625,4.06
426,Zebronics,173182,955297,2.23
427,Xiaomi,96117,582960,2.7
428,Acer,297066,690414,1.5
429,LG,254654,801287,3.47
430,Apple,320065,847829,4.97
431,Chuwi,199250,560162,4.25
432,Chuwi,230441,839217,2.22
433,Razer,172294,16331,1.2
434,Wings,179600,709428,2.15
435,Walker,576223,167759,4.07
436,ASUS,477395,638823,3.48
437,Zebronics,305002,631522,2.68
438,Honor,457369,670599,1.38
439,ASUS,452289,316261,3.57
440,Infinix,220541,105341,1.15
441,Ninkear,564709,452145,2.28
442,Colorful,357671,111608,4.27
443,Gigabyte,205100,181139,4.4
444,Dell,234952,906160,2.82
445,Colorful,374483,239465,4.96
446,Tecno,528463,682980,1.75
447,LG,572200,711464,3.63
448,Walker,96647,211629,4.79
449,Apple,390095,295863,2.5
450,Apple,247615,241021,3.26
451,Primebook,282588,818203,1.91
452,LG,575854,312808,3.5
453,iBall,215234,280445,1.09
454,Xiaomi,69102,813833,1.58
455,Apple,74709,286974,1.34
456,Lenovo,95970,853546,3.15
457,ASUS,38769,574069,1.73
458,Tecno,508869,315959,1.73
459,AXL,527066,558746,4.1
460,Primebook,18983,391630,2.84
461,Asus,527844,132639,2.86
462,Acer,231095,355715,1.95
463,Honor,518996,759564,4.03
464,Dell,208032,928123,4.86
465,Tecno,521426,650274,4.64
466,Wings,191978,245245,3.83
467,AXL,581066,362180,2.91
468,Tecno,240052,921548,1.38
469,MSI,198193,755142,1.5
470,Wings,514558,706192,4.69
471,Huawei,57115,81477,2.11
472,Ultimus,265830,874334,1.95
473,Apple,319747,869483,1.79
474,Avita,470618,452084,1.27
475,LG,432306,792247,3.6
476,Primebook,133733,497547,2.57
477,Lenovo,472101,64079,3.16
478,Samsung,515974,460632,4.09
479,Tecno,137389,931636,1.7
480,Dell,236885,187577,3.98
481,Zebronics,449641,494481,4.04
482,Xiaomi,492599,863792,2.32
483,Ultimus,16272,318212,3.47
484,Dell,30857,350965,1.05
485,Jio,578795,255195,1.05
486,Colorful,490346,313791,3.35
487,Xiaomi,369778,173180,4.72
488,Tecno,199515,125732,1.84
489,Huawei,482655,811446,2.54
490,Lenovo,192948,430785,4.44
491,LG,143174,340511,3.06
492,Primebook,241919,418175,3.85
493,Walker,90979,635824,4.0
494,Samsung,74001,803336,1.97
495,Avita,597321,816048,4.69
496,iBall,560183,23764,4.11
497,ASUS,298990,232619,3.54
498,Razer,566900,160616,2.2
499,Xiaomi,315833,224596,3.11
500,Ultimus,12273,989047,3.71
501,Zebronics,200496,710668,2.68
502,Dell,87916,84071,1.56
503,Tecno,110712,986532,3.75
504,Chuwi,12983,364461,1.93
505,Asus,244312,373919,1.17
506,Samsung,492585,135950,4.69
507,MSI,70935,82340,2.44
508,ASUS,521382,542011,1.32
509,iBall,311209,275771,2.89
510,Avita,213212,403044,4.71
511,Microsoft,102845,274588,2.95
512,Microsoft,230059,66371,3.46
513,Huawei,493697,615718,3.23
514,Xiaomi,538430,478641,1.84
515,Huawei,355280,752218,3.69
516,Asus,245251,265780,4.29
517,Razer,178049,257228,3.09
518,Avita,12539,718545,1.07
519,Gigabyte,192040,880585,2.41
520,Fujitsu,491051,269474,3.45
521,Honor,198338,469069,4.18
522,Tecno,111509,236051,3.43
523,Microsoft,528421,507967,1.01
524,Primebook,506009,562203,1.18
525,Xiaomi,598004,278262,4.23
526,ASUS,510477,875960,4.69
527,Acer,52653,337582,1.24
528,MSI,44765,752055,3.05
529,Samsung,32866,310561,3.7
530,Apple,263612,45988,1.65
531,Dell,86271,890361,1.92
532,Zebronics,41461,324250,2.0
533,Lenovo,10384,414577,3.78
534,Asus,93108,812404,2.31
535,Tecno,283390,270759,2.59
536,MSI,417338,623960,4.21
537,Ultimus,42241,543829,1.94
538,Honor,130275,860584,4.04
539,iBall,73293,923998,4.63
540,Chuwi,247247,756452,4.76
541,Razer,204257,326324,2.22
542,Zebronics,429238,868261,3.12
543,Gigabyte,200483,515103,1.57
544,Fujitsu,384950,58932,4.56
545,Microsoft,574049,965698,4.2
546,Zebronics,342329,273464,3.2
547,Infinix,289607,215542,4.37
548,Gigabyte,362140,817589,1.62
549,Razer,536354,870208,4.19
550,Asus,573666,404508,3.6
551,Jio,540958,739533,2.09
552,Fujitsu,196820,927461,1.75
553,Ultimus,264485,227592,3.59
554,Primebook,102945,858012,2.17
555,Walker,42024,26786,3.11
556,ASUS,158145,830475,1.76
557,Ultimus,533093,659530,3.92
558,Wings,598483,292326,1.49
559,Wings,225328,119048,3.86
560,Xiaomi,401632,92843,4.69
561,Gigabyte,111562,489820,1.49
562,Jio,121408,735140,1.82
563,Gigabyte,408383,111431,4.37
564,Walker,370109,805826,1.36
565,Gigabyte,239504,224629,2.57
566,Samsung,427434,51779,2.67
567,ASUS,52294,600226,3.87
568,Dell,559082,644946,4.61
569,Primebook,203407,468775,3.09
570,Primebook,73496,599502,3.93
571,AXL,298827,55091,1.42
572,Huawei,88782,912157,2.5
573,Microsoft,416378,865595,2.65
574,Ninkear,588837,819401,2.46
575,LG,590106,660260,3.23
576,Zebronics,221650,198380,3.08
577,AXL,36680,291146,2.72
578,Chuwi,48545,65806,4.86
579,MSI,118398,671268,3.13
580,Ultimus,194519,270693,2.33
581,Gigabyte,444319,889981,3.78
582,LG,128225,648497,2.82
583,MSI,333743,482061,3.76
584,Zebronics,513971,987068,4.1
585,Microsoft,584964,292463,1.47
586,Walker,250866,626758,2.42
587,Jio,324962,712692,4.42
588,Samsung,599566,942797,2.89
589,AXL,518090,518658,4.49
590,Primebook,559662,563590,1.37
591,Acer,484261,5326,2.72
592,Zebronics,411798,527411,1.93
593,Acer,161782,455475,4.06
594,Apple,242192,343327,4.11
595,AXL,294585,303453,3.84
596,Razer,482638,470312,3.0
597,Jio,333324,434013,1.04
598,Honor,14161,333837,1.15
599,Chuwi,100507,22949,3.61
600,Asus,233474,700363,2.59
601,Fujitsu,28407,920871,2.99
602,Microsoft,86148,922373,3.88
603,Colorful,209588,944701,1.68
604,Asus,235508,850112,3.6
605,Fujitsu,533655,641700,1.06
606,ASUS,278144,869531,1.9
607,AXL,261403,753010,3.0
608,Fujitsu,100650,865106,1.6
609,Tecno,277551,755316,4.34
610,Gigabyte,347434,707457,4.44
611,iBall,236526,359172,4.42
612,Microsoft,89158,729108,4.73
613,MSI,562918,495578,4.32
614,Gigabyte,31718,947107,5.0
615,Infinix,66441,736672,1.83
616,Microsoft,151494,159415,3.35
617,Dell,91686,741108,2.69
618,Dell,71477,990564,3.65
619,Chuwi,62842,249171,4.57
620,Gigabyte,427261,907256,1.67
621,Apple,58492,468425,3.59
622,AXL,269246,626112,3.62
623,Chuwi,73879,555490,2.53
624,Dell,249489,691982,1.99
625,Razer,435897,832836,1.78
626,Fujitsu,502639,241662,4.03
627,Avita,244515,635836,4.31
628,Gigabyte,394550,729860,4.82
629,Xiaomi,100519,927041,3.52
630,Zebronics,287766,293082,4.21
631,Zebronics,20728,403883,1.73
632,Acer,391849,791260,4.47
633,Chuwi,164639,648655,3.12
634,Chuwi,188900,914432,4.22
635,LG,517614,266074,4.99
636,Xiaomi,356167,383516,2.44
637,Tecno,481661,825155,3.91
638,Acer,303380,532091,3.78
639,Ninkear,459446,736247,4.71
640,Gigabyte,219976,845149,1.88
641,Gigabyte,246705,10450,3.53
642,Lenovo,312906,23656,2.63
643,Razer,237993,809912,3.17
644,Primebook,411555,356869,1.24
645,Acer,597159,964799,2.04
646,Xiaomi,554898,142926,1.4
647,Infinix,220653,641588,3.42
648,Jio,587054,603429,2.55
649,Fujitsu,371474,100948,4.63
650,iBall,321375,565433,2.14
651,Asus,450223,398799,3.46
652,Tecno,580954,865147,4.54
653,AXL,76628,642629,3.63
654,AXL,588034,122363,3.06
655,Samsung,331160,964590,4.67
656,Dell,279940,749520,2.98
657,Lenovo,375830,922523,1.03
658,Avita,585478,201159,2.63
659,Apple,431183,628706,1.14
660,Apple,469515,122360,2.12
661,Walker,73373,337714,4.25
662,Ultimus,552005,242780,4.79
663,Dell,233579,204233,4.62
664,HP,516852,619992,1.03
665,LG,172325,407183,1.26
666,Microsoft,167126,495102,4.51
667,HP,316284,875495,4.53
668,Ninkear,568102,799458,1.62
669,Dell,135667,520276,1.99
670,Honor,180398,92836,2.46
671,Infinix,403601,127325,3.85
672,Primebook,431978,858806,4.01
673,Chuwi,36754,444435,1.17
674,MSI,314923,553646,1.22
675,Apple,82317,326888,4.47
676,Honor,224650,728281,3.3
677,Microsoft,270342,98209,1.33
678,Primebook,180184,281556,3.72
679,Gigabyte,206164,590567,1.87
680,Ultimus,354442,273104,4.31
681,Xiaomi,457439,507047,1.8
682,Asus,91909,52135,2.13
683,Dell,200268,778200,1.0
684,Fujitsu,232881,390183,3.84
685,Ultimus,288285,355258,4.31
686,Acer,312341,348256,1.22
687,Walker,502136,949289,2.73
688,Ultimus,264550,212962,1.66
689,Primebook,548415,582657,2.22
690,Jio,494140,604258,3.64
691,Gigabyte,536513,522703,3.53
692,Jio,453125,475324,3.88
693,Jio,108829,87159,4.22
694,Ultimus,556992,260030,4.03
695,Razer,72413,711846,4.61
696,Ninkear,538259,953115,3.96
697,Wings,355823,646564,1.63
698,Razer,456448,399251,3.27
699,Dell,362136,810292,2.57
700,Walker,448745,559758,2.0
701,MSI,35838,134269,1.79
702,Huawei,504851,639888,4.51
703,Honor,177741,18308,2.85
704,Zebronics,28420,842676,3.33
705,Ultimus,142417,60461,2.05
706,Avita,428352,974737,2.73
707,HP,8503,660951,1.08
708,Wings,131785,884862,2.99
709,Zebronics,244107,270626,1.89
710,Tecno,597170,681391,1.63
711,Apple,108195,866188,2.92
712,Primebook,438283,741845,4.85
713,Huawei,185637,665975,1.32
714,Primebook,164626,577985,4.73
715,ASUS,124936,845170,2.78
716,Fujitsu,339808,194693,1.44
717,Zebronics,316113,39882,4.3
718,Colorful,392947,233734,1.82
719,Asus,339726,5633,3.92
720,iBall,84768,845667,4.0
721,Colorful,577619,973060,4.44
722,Dell,260007,285375,1.13
723,ASUS,142868,921646,2.97
724,Dell,305483,999994,3.43
725,iBall,296285,336299,2.03
726,Chuwi,533026,264849,2.25
727,Samsung,412330,195828,2.34
728,Chuwi,219762,866809,2.51
729,Dell,313723,597705,3.4
730,Samsung,69487,323868,2.87
731,Wings,332388,664197,3.96
732,Jio,598411,667035,1.42
733,Avita,270846,937077,2.37
734,Asus,25297,815800,2.39
735,Primebook,342135,278192,1.03
736,Ultimus,46950,487801,1.49
737,Avita,483664,642648,2.01
738,Tecno,85782,728191,1.79
739,Fujitsu,379758,393546,1.36
740,Chuwi,218923,399269,4.21
741,Apple,129782,820781,2.08
742,Fujitsu,249264,69358,1.25
743,Infinix,157046,17872,2.24
744,Apple,552893,580425,4.01
745,Zebronics,417433,262620,1.85
746,Fujitsu,497689,401972,4.1
747,Gigabyte,140287,142043,4.68
748,Chuwi,350119,570008,2.29
749,Microsoft,326162,684880,3.24
750,Apple,89347,331311,3.81
751,HP,192155,384384,3.4
752,Honor,572392,442377,2.65
753,Apple,538345,858387,2.57
754,Primebook,209690,909125,1.64
755,Fujitsu,528302,313409,3.86
756,Acer,365454,223539,2.89
757,Apple,114194,11395,2.18
758,Microsoft,555312,400877,1.15
759,Asus,549183,936440,3.08
760,Acer,450164,746972,1.39
761,Ultimus,269922,536173,1.59
762,Wings,567805,680603,2.17
763,MSI,584990,477378,2.55
764,AXL,559117,54806,1.47
765,Avita,85505,748244,3.05
766,Zebronics,176346,385331,3.74
767,Colorful,204802,46624,1.21
768,Dell,236762,658303,1.18
769,HP,183201,231280,4.12
770,Asus,42313,994042,2.96
771,Dell,450696,79569,2.71
772,Dell,525229,78592,4.4
773,ASUS,298735,501471,4.46
774,HP,324249,850922,2.69
775,Walker,524514,469057,2.59
776,Ultimus,58393,825746,3.3
777,Xiaomi,337337,496104,4.28
778,Primebook,393316,369719,1.32
779,Jio,107424,553307,4.39
780,Fujitsu,38493,815612,1.83
781,Avita,525954,332038,3.45
782,Razer,352807,581960,1.69
783,Microsoft,101274,830180,4.63
784,Asus,270657,209396,1.14
785,Ninkear,38326,287954,4.01
786,LG,236256,526286,1.66
787,Gigabyte,521324,559526,2.35
788,HP,311124,524570,4.51
789,Acer,374466,544024,1.07
790,Honor,140945,512345,4.0
791,Gigabyte,235565,971912,1.76
792,ASUS,92937,346616,3.76
793,MSI,88153,81282,3.02
794,Avita,221088,244869,3.75
795,iBall,478671,568469,2.32
796,HP,525623,953822,1.33
797,Walker,525787,569190,3.56
798,Chuwi,41983,299560,3.06
799,Huawei,216868,417358,3.92
800,Primebook,12431,968001,1.58
801,Apple,571643,987778,2.41
802,Wings,490792,422698,4.85
803,Ultimus,368590,510689,2.23
804,Wings,158758,801703,2.87
805,Ultimus,318119,492435,1.6
806,Walker,90217,356614,4.06
807,Xiaomi,392552,361795,2.0
808,Fujitsu,153414,771549,4.39
809,HP,294798,839446,2.79
810,MSI,203260,732674,2.29
811,Colorful,237534,746426,4.01
812,iBall,101431,540922,1.89
813,Chuwi,107258,764320,1.45
814,Avita,509376,912046,2.34
815,Walker,374920,358300,2.99
816,LG,361114,27339,4.92
817,Samsung,385156,637740,3.83
818,Apple,62455,386102,3.8
819,Honor,430427,847992,4.55
820,Wings,488775,899267,3.51
821,Chuwi,419233,32367,2.62
822,Xiaomi,183342,80101,2.36
823,Jio,441819,397927,4.95
824,Tecno,89949,833031,1.65
825,Zebronics,599283,927145,1.69
826,MSI,427641,499935,3.72
827,Infinix,58897,367958,4.21
828,Xiaomi,102424,527379,2.94
829,MSI,146573,856271,4.11
